Age,Gender,Height,Weight,BMI,Calories,WorkoutDuration,Steps,SleepHours,WaterIntake,ActivityLevel,FatLoss,WeightLoss
48,Male,181.6,80.9,24.54,3307,2,7585,7.0,2.0,Moderate,3.42,3.48
48,Female,161.2,89.7,34.54,1912,94,7156,4.2,1.1,Moderate,6.98,7.38
36,Male,183.8,56.8,16.83,2750,37,5484,6.7,1.9,Low,2.9,3.6
26,Male,176.6,94.5,30.29,2303,0,3375,7.8,1.9,High,4.72,5.46
18,Female,149.3,82.9,37.22,2274,39,15558,6.7,2.9,High,5.6,6.53
34,Female,163.9,67.1,24.97,1648,70,9114,7.4,1.9,Moderate,8.43,9.62
33,Male,173.8,80.5,26.67,2753,49,7327,6.7,1.3,High,4.93,5.48
27,Female,165.2,75.5,27.66,1655,19,15446,7.3,1.6,High,6.23,6.43
30,Male,175.5,92.0,29.88,1578,26,4959,8.7,2.9,Moderate,6.02,6.9
19,Male,171.3,71.5,24.37,2879,36,10108,7.9,3.2,High,4.93,5.98
47,Female,160.3,82.1,31.95,3194,32,3628,5.4,2.1,High,5.12,6.17
62,Male,178.2,66.8,21.04,1966,9,10627,5.0,2.2,High,3.8,4.56
51,Male,171.0,61.1,20.9,2801,43,4029,7.5,3.2,Low,3.5,4.8
39,Female,172.4,81.1,27.28,2698,7,9646,8.4,2.7,High,5.17,5.67
38,Male,177.9,61.9,19.56,2254,71,14836,5.0,3.7,Low,5.86,7.02
32,Male,171.2,92.4,31.52,2967,74,8327,6.7,2.5,Moderate,5.09,5.28
24,Male,182.2,88.7,26.71,2218,16,1000,9.8,1.9,Low,2.85,2.85
46,Female,156.7,64.2,26.15,2558,24,8125,6.7,3.6,High,4.91,5.1
45,Female,151.9,81.8,35.49,1673,33,9681,10.0,2.3,High,5.89,6.29
18,Male,172.9,64.1,21.46,1694,44,11153,6.0,1.9,Moderate,5.89,6.49
37,Male,187.5,49.1,13.98,2884,52,13157,6.2,3.4,Moderate,5.18,5.45
31,Female,160.0,67.2,26.28,2575,57,13335,6.2,3.9,Low,5.6,6.24
26,Male,171.4,77.1,26.24,2228,57,7541,5.5,2.8,Low,4.48,5.3
51,Female,161.7,87.4,33.4,3253,88,5691,5.0,1.7,High,5.5,6.23
43,Female,159.8,80.7,31.61,3248,46,4085,6.7,4.0,Moderate,4.54,5.09
48,Male,169.3,94.3,32.9,2519,8,6110,7.2,2.9,Moderate,4.6,5.62
52,Male,170.2,60.3,20.82,1572,0,9667,6.1,2.8,High,4.14,4.46
65,Male,169.9,71.2,24.68,2244,90,3279,6.4,2.2,Moderate,5.04,5.55
56,Male,174.5,107.6,35.34,1883,59,4755,8.7,3.6,Moderate,7.37,7.78
47,Male,164.0,45.0,16.73,2344,50,9968,8.2,1.6,Moderate,6.29,7.12
60,Female,148.7,69.9,31.6,1831,57,5737,6.7,1.5,Low,5.44,5.9
40,Male,177.7,58.7,18.6,1701,49,9294,7.5,4.3,High,7.51,8.25
65,Female,162.0,74.5,28.37,1168,57,5149,5.0,1.8,High,7.18,8.07
54,Female,162.7,70.2,26.52,2383,34,9007,7.3,3.5,Moderate,5.89,6.32
49,Male,186.5,88.8,25.55,1150,74,5298,6.9,3.8,Moderate,7.39,7.43
61,Male,172.7,82.6,27.7,2139,30,1343,6.6,2.8,Moderate,5.1,5.63
42,Male,184.4,54.5,16.03,2647,19,11345,7.0,1.8,Moderate,4.25,4.58
52,Female,161.9,67.4,25.7,1938,0,5564,6.8,3.2,Moderate,3.5,3.87
31,Male,186.8,78.0,22.35,1757,38,7129,5.4,3.9,Low,4.89,4.89
64,Female,172.9,91.3,30.56,2266,80,5581,9.0,2.9,Moderate,5.46,5.49
47,Female,159.7,121.8,47.74,1885,32,9905,8.1,1.9,Moderate,6.01,6.89
55,Female,161.6,90.7,34.7,2392,6,9166,6.5,2.9,Low,3.05,3.32
40,Other,187.7,59.8,16.97,1783,52,9897,4.9,1.4,Moderate,6.45,7.46
59,Female,160.6,76.3,29.57,2247,26,6076,4.1,1.7,Moderate,4.45,4.8
21,Female,165.9,81.3,29.53,2126,88,7825,9.4,2.4,High,7.01,7.78
23,Female,166.5,68.7,24.76,2294,75,9459,6.8,2.7,High,6.57,7.08
42,Female,167.1,86.5,30.96,3117,9,13408,7.9,1.5,Moderate,4.32,5.15
53,Female,164.0,45.0,16.73,2399,40,9072,5.9,2.8,Moderate,3.84,4.35
56,Female,163.4,88.0,32.96,2552,23,4488,6.6,3.1,High,4.59,5.27
39,Male,169.9,69.4,24.06,1987,12,8937,6.7,2.4,Low,4.19,5.23
49,Female,158.0,76.0,30.47,2411,43,7422,7.3,0.8,Moderate,5.48,6.25
44,Female,164.3,104.4,38.68,2162,67,1004,7.1,2.7,Moderate,7.08,7.44
64,Female,176.2,55.3,17.81,2314,42,1541,5.9,4.2,Low,3.75,3.75
49,Male,170.6,82.9,28.49,2624,30,7767,5.9,3.0,High,4.94,5.5
38,Female,164.1,92.3,34.26,2049,0,8062,6.9,2.6,Low,3.77,4.52
64,Female,168.0,81.1,28.73,2100,26,6968,4.9,2.3,High,5.12,5.77
23,Other,176.7,48.9,15.68,2056,60,11094,6.0,3.1,Moderate,6.52,6.81
65,Male,160.9,102.3,39.51,2047,7,4726,6.8,2.8,Moderate,4.4,5.06
25,Female,168.6,74.2,26.09,2386,80,3148,7.5,3.2,Low,5.37,6.2
31,Female,172.4,68.5,23.05,2118,28,5110,8.8,1.6,Moderate,4.58,5.67
57,Female,156.6,72.4,29.53,3048,50,5865,6.4,2.7,High,4.62,5.14
53,Female,158.6,71.1,28.27,3639,33,7796,7.0,2.2,Moderate,4.39,5.85
64,Female,177.3,56.6,18.0,2016,12,5208,4.8,2.9,Low,4.11,5.22
53,Female,162.7,81.0,30.6,2447,57,1000,7.4,0.8,Moderate,5.09,5.75
48,Male,172.1,67.2,22.71,2819,28,1000,5.9,2.2,Moderate,3.72,4.41
34,Other,170.3,90.1,31.06,2167,21,8431,6.6,3.1,Moderate,5.0,6.09
18,Male,191.4,87.3,23.82,1802,0,4048,7.6,3.2,Moderate,4.55,4.82
23,Female,159.9,107.3,41.97,3169,81,1000,7.6,2.6,Low,4.61,4.93
32,Female,168.6,74.2,26.1,2643,45,10187,5.3,0.8,Low,5.18,5.33
19,Male,190.3,63.5,17.55,2459,75,13408,8.0,3.2,Moderate,6.64,7.16
42,Male,170.5,51.5,17.72,3025,62,7669,7.0,4.0,High,4.39,4.69
55,Male,174.2,117.5,38.7,2685,75,8939,8.5,1.8,High,7.14,7.61
64,Female,168.4,89.9,31.71,2276,29,8969,8.8,2.2,Moderate,5.34,5.92
41,Female,161.1,65.5,25.25,1811,6,1000,8.9,3.3,Moderate,3.95,4.07
60,Male,172.1,108.5,36.62,2053,66,11110,5.3,3.3,Moderate,8.03,9.11
65,Female,169.1,102.4,35.83,2902,48,12339,7.5,3.6,Moderate,6.83,7.84
59,Male,175.6,53.7,17.4,2641,31,14428,5.1,3.5,High,4.29,4.73
40,Female,158.9,64.4,25.54,2206,65,6468,8.6,1.2,Moderate,5.44,6.56
33,Male,173.4,75.6,25.15,3183,53,4027,8.7,2.2,Low,4.32,5.05
64,Male,173.0,58.7,19.62,2221,62,12754,8.2,3.2,Moderate,6.75,7.73
29,Male,182.5,76.3,22.89,2793,16,9746,6.5,2.5,Low,2.43,2.55
37,Female,162.9,90.8,34.24,2410,72,11061,7.7,2.9,Moderate,8.2,8.68
21,Male,174.3,53.3,17.53,3266,44,5735,6.3,2.5,High,3.76,4.58
56,Female,155.2,83.3,34.56,2676,75,8950,7.0,2.2,Moderate,7.45,8.0
49,Male,188.7,99.0,27.82,2323,72,4313,6.9,2.4,Low,4.81,5.35
22,Male,175.4,85.2,27.7,2210,64,7981,4.6,1.6,Moderate,4.97,5.53
28,Male,169.9,76.6,26.55,2292,41,6782,6.0,1.9,Low,4.35,5.08
44,Male,158.7,66.0,26.19,1937,64,16202,9.7,2.5,Moderate,6.87,7.51
43,Female,154.9,93.0,38.73,1616,76,9920,6.9,2.6,Low,7.61,8.76
56,Male,170.3,56.8,19.6,2454,61,1000,7.2,3.1,Moderate,4.6,4.85
30,Other,173.1,82.4,27.48,2033,50,7994,7.0,2.3,High,6.39,7.03
62,Male,169.6,78.5,27.29,2031,64,9288,6.5,4.1,Low,6.94,7.79
39,Male,176.8,98.3,31.43,2255,30,6341,7.0,3.7,Moderate,5.92,6.09
57,Male,169.5,67.5,23.51,2326,87,4140,6.5,2.1,Moderate,4.63,5.11
29,Male,166.7,69.0,24.85,2303,0,10311,4.3,2.8,Moderate,3.18,3.84
19,Female,149.4,55.6,24.94,3169,45,4635,7.9,3.7,High,4.34,5.47
20,Female,164.1,85.9,31.89,2631,33,10014,8.9,2.0,Moderate,4.92,5.57
35,Male,165.1,70.4,25.8,3353,27,4339,5.6,1.9,Low,2.75,3.62
63,Female,153.6,62.5,26.47,2080,53,6131,6.5,3.8,Moderate,5.7,6.58
20,Female,161.2,64.2,24.7,2691,13,11346,8.8,3.2,Moderate,4.97,4.97
35,Female,170.6,87.7,30.12,2108,105,9712,6.1,3.6,High,8.47,9.1
23,Other,169.3,58.1,20.29,2019,7,8109,7.5,2.9,High,5.02,5.47
62,Female,157.0,59.7,24.24,3372,18,7895,10.0,2.4,Moderate,2.86,3.99
50,Female,166.9,94.1,33.78,1915,15,8316,7.8,1.4,Moderate,5.51,6.35
54,Female,146.3,75.0,35.05,1184,50,5229,7.1,2.7,Moderate,7.71,8.62
52,Female,156.7,95.2,38.75,1946,73,2691,8.1,3.7,High,8.19,8.97
49,Female,156.2,71.5,29.31,1295,59,9992,7.9,3.7,Moderate,8.5,9.14
55,Male,167.7,78.0,27.72,1824,86,13355,6.2,3.6,Moderate,7.58,8.47
18,Female,160.6,80.8,31.34,1870,21,10114,4.9,3.3,Moderate,5.83,6.42
59,Other,171.9,103.0,34.86,2317,63,8889,7.7,4.6,Low,6.86,7.91
53,Male,174.9,101.5,33.18,1275,36,3770,7.9,1.2,Moderate,7.12,7.34
53,Female,162.2,98.8,37.56,2897,51,11070,6.6,2.8,Low,5.86,6.82
36,Female,165.8,66.7,24.26,1362,76,9684,9.0,1.8,High,7.86,8.33
56,Male,183.9,60.2,17.82,2236,0,10660,8.7,4.0,Moderate,3.72,4.56
36,Female,160.0,91.7,35.81,2137,100,11618,7.9,2.1,Low,8.05,8.1
20,Female,164.8,102.8,37.84,2712,40,13551,6.7,3.5,High,5.47,6.17
61,Other,182.8,98.9,29.6,2475,0,4098,4.5,2.2,High,3.48,4.03
29,Male,178.4,78.2,24.58,2893,25,3488,6.8,3.0,Low,2.44,3.02
22,Male,181.8,91.1,27.56,2119,47,8518,4.8,2.5,Low,6.36,6.36
47,Female,170.1,91.4,31.58,2067,25,4771,4.2,2.6,Moderate,4.75,5.36
29,Male,172.5,80.7,27.11,2506,0,4165,7.8,2.9,Moderate,3.74,4.39
59,Male,181.5,81.5,24.73,2814,47,12270,8.4,3.4,Low,5.28,5.28
39,Male,181.6,79.8,24.18,2712,24,4468,4.7,2.5,Moderate,3.45,3.65
18,Male,186.5,63.8,18.34,2460,63,7961,6.7,3.4,Moderate,4.6,5.25
63,Female,155.3,65.7,27.2,2416,15,2290,7.0,3.5,High,4.27,5.01
42,Female,177.3,65.4,20.79,2281,108,8220,6.6,2.2,High,5.46,6.04
30,Female,158.5,49.2,19.6,2504,59,12139,5.3,4.3,Low,5.46,6.08
50,Female,158.5,80.6,32.07,3317,50,12245,8.6,3.3,Moderate,5.7,6.3
43,Male,170.8,77.3,26.47,2178,62,11657,5.4,2.2,Moderate,6.88,7.29
19,Male,165.2,91.7,33.61,2117,0,7725,4.7,3.2,Moderate,4.06,4.59
54,Male,180.5,100.7,30.9,2079,31,11890,5.4,3.5,Low,4.36,4.47
37,Male,163.5,101.8,38.09,2494,94,9505,7.6,3.1,Moderate,7.09,7.49
51,Male,170.0,103.5,35.83,1239,36,6463,6.7,2.8,High,7.39,7.98
60,Male,170.3,64.4,22.19,2232,43,9335,6.1,0.8,Low,3.99,5.02
47,Male,183.6,52.2,15.49,2740,31,11099,7.6,1.7,Low,3.71,4.26
50,Male,169.1,94.8,33.12,2036,86,3352,7.4,3.2,Moderate,7.45,8.78
30,Female,171.2,102.9,35.12,2393,38,4288,4.2,1.7,High,5.36,6.64
29,Female,160.7,106.0,41.06,3354,9,7497,7.6,3.1,Moderate,4.27,4.89
37,Female,167.7,86.7,30.83,2465,117,3723,8.4,3.4,Low,6.31,6.77
58,Female,154.3,45.0,18.9,1180,6,3673,6.9,2.5,High,5.45,6.85
43,Female,167.4,84.6,30.19,1595,42,6527,6.7,1.0,Moderate,6.47,7.33
34,Male,160.4,88.0,34.19,2174,21,11471,9.3,1.9,Moderate,4.54,5.3
55,Female,153.7,100.5,42.55,1898,25,11406,6.1,3.2,Low,4.92,5.26
58,Male,173.8,103.7,34.33,2351,15,9123,6.8,3.7,Low,3.86,4.31
61,Male,176.3,94.4,30.37,2152,29,8630,7.4,0.8,Moderate,5.9,6.15
32,Male,168.1,67.4,23.86,2883,72,15306,7.1,2.7,High,7.07,8.19
52,Male,183.1,59.5,17.74,1754,0,6112,6.7,1.3,Moderate,3.44,4.21
46,Male,174.1,87.6,28.9,2196,80,8843,7.1,2.7,High,8.5,8.99
39,Female,169.3,63.7,22.23,2408,75,5938,8.9,2.5,Moderate,5.22,5.66
37,Female,157.4,104.6,42.18,2470,59,3494,8.0,4.7,Moderate,6.19,6.44
23,Female,163.6,47.3,17.68,2373,48,12147,6.9,2.1,Moderate,5.58,6.16
31,Female,163.5,88.2,32.99,1100,52,6931,6.0,3.5,Moderate,7.83,8.49
44,Female,166.6,83.8,30.16,2341,84,10431,6.1,3.5,Low,5.8,5.8
60,Male,165.7,74.3,27.06,2224,0,7138,8.1,2.4,High,4.7,4.96
59,Female,156.8,61.3,24.94,2732,65,12363,5.1,2.7,Low,5.31,5.68
27,Female,168.2,45.0,15.91,2661,24,4509,9.9,2.6,High,3.54,4.52
50,Male,175.5,68.4,22.23,2420,68,12073,7.0,1.9,High,6.76,7.16
22,Male,172.6,68.8,23.08,2456,27,11129,5.3,1.9,Low,4.03,4.03
50,Female,149.2,98.0,44.06,2976,64,1718,7.2,2.2,Low,5.07,5.29
34,Female,165.5,63.9,23.33,2875,1,6190,6.0,1.6,Moderate,2.84,4.04
39,Male,167.6,86.1,30.65,2437,0,11572,6.5,2.1,Moderate,3.3,3.77
52,Female,161.1,54.7,21.1,3372,41,13730,5.2,2.4,Moderate,2.98,3.21
38,Male,182.9,86.6,25.9,1985,85,10504,6.7,2.7,Low,6.93,6.94
56,Male,161.9,45.0,17.17,1707,60,6612,4.5,3.0,High,6.72,7.33
43,Male,176.8,115.7,37.03,2294,59,4610,6.3,2.4,Moderate,5.59,6.24
65,Male,185.0,75.5,22.04,2113,69,9983,6.0,1.9,Moderate,7.29,8.05
48,Female,172.3,45.0,15.16,1100,33,6508,6.4,3.0,High,5.94,7.5
32,Male,169.8,65.1,22.58,1973,62,6657,6.1,3.3,High,6.29,6.46
55,Female,153.4,62.2,26.47,2471,28,7215,7.0,2.2,Moderate,5.08,5.55
37,Male,166.1,66.2,23.99,2270,36,11086,8.1,1.7,High,5.33,6.03
43,Female,163.0,71.4,26.9,1911,39,14322,7.4,2.2,High,7.65,8.1
24,Female,154.1,66.1,27.83,2321,29,11594,8.6,2.4,High,5.8,5.8
23,Female,151.1,63.3,27.74,2361,43,8033,6.4,3.6,High,5.5,6.28
45,Female,166.4,57.1,20.63,2657,37,4852,7.4,3.2,Low,4.42,4.79
26,Female,166.8,92.8,33.36,1979,25,10336,7.4,2.6,High,6.2,6.42
65,Female,159.4,99.6,39.2,2736,41,13829,8.4,4.3,High,6.22,6.51
59,Female,164.1,73.4,27.28,1754,49,11512,6.1,2.6,Moderate,7.32,8.47
51,Female,163.3,77.7,29.12,2048,14,8727,7.9,3.9,Moderate,5.9,6.95
53,Male,174.7,57.7,18.9,3149,56,6288,6.0,3.7,Moderate,3.81,4.03
46,Male,182.2,79.3,23.89,1788,31,9208,6.3,3.6,Moderate,4.28,4.28
20,Male,177.2,82.1,26.16,1970,50,12041,6.6,2.9,Low,6.27,7.18
36,Male,170.9,74.1,25.34,1673,26,8813,7.5,2.7,Moderate,5.44,6.76
41,Male,158.6,85.1,33.84,1886,74,7637,5.7,2.6,Moderate,7.5,8.92
61,Male,187.0,83.6,23.89,2369,71,5594,5.9,3.4,Moderate,5.52,5.62
28,Female,162.3,59.0,22.42,2653,15,17062,6.2,1.9,High,3.42,4.49
41,Male,185.1,99.5,29.05,2290,59,4881,7.1,2.4,Low,5.1,5.7
34,Female,162.6,74.3,28.1,2137,85,4558,5.9,4.1,High,6.49,6.49
24,Male,166.2,108.2,39.16,1678,18,8574,7.3,3.2,Moderate,6.3,6.6
22,Female,169.9,85.6,29.65,1936,20,7293,6.6,3.5,High,5.24,5.56
35,Male,191.1,113.5,31.09,1526,65,11581,7.8,1.5,Low,8.1,8.87
21,Male,186.3,99.2,28.57,2668,8,11699,7.1,2.2,Low,3.61,3.74
21,Male,169.9,82.1,28.44,2703,23,3749,9.1,2.9,Moderate,4.22,5.15
34,Female,159.7,65.0,25.48,2279,16,5355,7.1,2.6,Moderate,4.37,5.14
27,Male,174.8,65.4,21.39,2520,65,4936,5.5,1.5,Moderate,5.23,6.19
44,Female,163.5,87.6,32.75,2738,25,10745,6.7,3.3,Moderate,5.06,5.43
18,Male,183.6,80.6,23.9,2350,37,9499,7.0,3.6,Moderate,6.17,6.91
32,Female,166.9,67.4,24.2,2996,24,6699,5.9,2.3,High,4.12,4.36
39,Male,160.5,93.0,36.12,1788,77,8757,8.8,3.3,Low,8.02,8.86
64,Female,161.8,78.7,30.06,2125,20,4058,6.6,4.4,Low,4.74,5.26
48,Male,172.6,93.1,31.26,2066,5,5401,6.2,4.0,High,4.7,5.25
60,Male,174.3,60.4,19.9,2623,4,3449,7.2,2.4,Moderate,3.52,4.11
34,Male,176.0,96.0,30.99,1582,64,8509,5.9,1.6,Moderate,7.99,7.99
39,Male,183.6,87.0,25.82,3023,66,8495,8.2,2.8,Moderate,5.5,6.51
38,Male,181.8,99.6,30.11,2580,79,4554,7.9,4.7,Low,5.67,6.3
60,Other,168.0,95.6,33.87,3175,9,9474,7.2,3.8,Moderate,4.57,5.58
64,Male,173.5,76.5,25.39,2279,38,11699,7.7,2.6,Low,4.93,5.92
64,Male,170.4,75.0,25.83,2024,112,4393,6.4,4.0,Low,6.15,6.47
54,Female,160.9,110.1,42.54,2628,36,6857,5.2,3.7,Low,3.9,4.4
42,Male,173.1,72.8,24.28,2815,29,9797,6.6,0.9,Low,3.42,3.47
43,Male,188.8,91.5,25.67,1942,44,7977,6.4,3.6,High,6.29,7.32
65,Female,166.5,71.1,25.66,1301,59,3197,4.6,2.7,High,6.73,7.44
31,Female,170.2,45.0,15.54,1386,59,6457,5.7,1.8,Low,5.63,6.3
34,Female,159.7,55.9,21.93,2430,27,6341,5.5,2.7,Moderate,4.19,4.7
61,Male,176.3,85.3,27.45,3070,28,7403,5.7,3.0,Moderate,4.07,4.33
36,Other,166.3,90.6,32.77,1649,36,7552,8.6,1.9,Low,6.64,7.69
29,Male,162.6,85.4,32.29,2163,24,13481,7.6,2.5,Low,5.7,7.0
44,Other,163.0,98.6,37.13,2125,10,7270,8.2,2.3,Moderate,5.86,6.92
33,Female,162.1,85.0,32.38,3260,95,1986,7.6,3.3,Low,4.83,5.38
60,Female,170.4,64.0,22.05,3429,33,8318,8.3,2.3,High,4.55,5.28
61,Male,170.0,88.7,30.69,2512,35,14117,7.0,1.1,High,5.66,6.64
32,Male,190.8,81.1,22.26,2749,36,7415,8.8,2.2,Moderate,3.5,4.13
43,Female,160.5,67.6,26.26,2735,42,6466,5.5,1.7,High,4.36,5.64
65,Female,166.0,86.5,31.39,1659,57,6932,6.9,1.4,Low,5.96,6.99
53,Female,158.7,79.4,31.55,2649,31,10044,5.8,3.7,Moderate,4.68,6.25
28,Female,158.3,67.1,26.79,1790,76,6917,8.5,3.3,Low,7.55,8.22
46,Female,152.6,74.8,32.13,2214,61,2695,7.5,1.7,Moderate,5.89,5.89
47,Male,168.3,103.4,36.52,2869,39,5648,8.4,1.5,Moderate,4.98,5.61
49,Male,176.4,102.9,33.05,2340,26,7773,5.3,2.5,Low,4.45,4.91
19,Male,189.4,81.4,22.68,2851,75,9874,6.3,1.4,Moderate,4.88,5.54
32,Male,167.9,79.0,28.03,2949,40,5960,4.9,2.4,Low,3.71,4.93
59,Male,170.1,52.2,18.05,1421,10,6963,7.4,2.7,Low,5.09,5.5
29,Female,157.9,108.9,43.7,1211,73,8157,6.5,2.9,High,8.5,8.81
32,Female,171.9,96.7,32.69,2881,24,5279,7.9,2.9,Low,4.85,5.22
33,Female,171.8,91.5,31.0,2901,69,7678,7.0,1.9,Low,5.18,6.53
26,Male,167.2,45.0,16.09,2428,0,9635,4.4,2.7,Low,2.34,2.78
25,Female,151.5,78.7,34.3,2496,34,3847,5.0,3.8,Moderate,4.83,5.52
34,Female,178.0,75.7,23.89,2746,77,9072,7.1,0.8,High,6.69,7.93
59,Female,164.7,90.3,33.28,2737,45,4183,7.6,2.9,High,5.81,6.65
18,Female,159.7,69.9,27.39,2147,61,4253,4.3,1.5,Moderate,5.86,5.86
31,Female,168.7,73.8,25.94,2777,19,5680,6.9,3.9,Moderate,3.62,4.05
20,Female,166.9,89.1,32.0,2126,54,12778,5.8,3.3,High,8.03,8.4
44,Male,188.9,64.1,17.96,2421,45,1996,5.7,3.3,Moderate,4.27,4.27
30,Female,157.4,67.7,27.33,2400,51,6376,6.2,1.8,High,5.02,5.46
56,Male,182.6,81.5,24.43,1870,102,7907,7.1,2.8,Low,7.41,7.41
46,Male,174.2,102.1,33.63,1928,81,12085,6.2,2.9,Moderate,8.02,8.73
55,Male,174.7,92.6,30.33,3417,67,14817,4.6,0.8,Low,4.17,4.78
48,Female,161.8,97.4,37.17,1854,67,6522,7.1,2.7,Moderate,7.81,8.17
39,Female,164.0,79.1,29.44,2484,19,9887,6.6,3.2,High,4.7,4.7
59,Female,161.0,104.9,40.49,2589,31,7669,5.9,1.3,Moderate,4.48,5.57
40,Male,174.6,46.7,15.3,2272,2,7646,6.6,3.1,High,3.75,4.15
63,Male,175.7,114.4,37.08,2635,9,8956,6.6,2.7,Low,3.93,4.92
65,Female,167.5,116.7,41.59,2464,20,2450,7.1,3.8,Moderate,5.21,5.77
46,Male,166.8,86.2,31.0,1864,44,7832,6.7,2.2,High,6.98,8.09
50,Female,158.1,93.0,37.2,2568,10,9577,7.2,2.8,Low,3.99,4.8
30,Male,187.9,77.3,21.89,2027,43,4990,6.9,2.9,Low,4.67,5.31
57,Female,165.0,74.2,27.26,3170,40,9600,8.0,0.8,Moderate,4.51,4.81
50,Female,162.1,67.0,25.51,2514,13,1950,8.9,2.3,Moderate,3.4,4.46
61,Female,151.3,77.1,33.68,1949,87,8327,7.0,2.7,Moderate,6.94,7.46
30,Male,173.0,88.0,29.39,2471,7,12697,6.3,0.8,Low,3.73,4.04
55,Female,156.5,85.6,34.92,1837,76,7234,5.3,3.2,Moderate,6.76,7.3
40,Female,147.0,113.8,52.62,2428,0,4576,7.8,2.7,Moderate,4.04,4.62
26,Female,171.9,79.8,27.02,2187,41,3012,5.9,2.7,Moderate,5.58,6.48
26,Female,164.6,51.2,18.9,1886,11,9366,9.8,3.2,Low,3.14,3.14
44,Male,173.9,107.6,35.59,1880,26,11248,10.0,2.2,Low,5.28,6.72
33,Female,146.7,56.0,26.04,3517,95,7803,6.7,2.6,Moderate,4.27,5.03
22,Male,176.3,67.9,21.85,2345,35,6377,5.0,3.4,Moderate,4.44,5.03
38,Male,173.2,82.9,27.62,2084,14,1241,7.8,2.6,Low,4.27,5.02
49,Female,175.8,85.5,27.67,1997,58,8434,9.5,0.9,High,6.72,6.79
33,Female,157.1,52.0,21.06,2535,35,5587,5.4,2.6,High,4.39,5.03
63,Male,183.6,64.6,19.15,1980,49,5788,9.3,2.7,Low,5.47,6.29
55,Male,142.9,51.3,25.15,1752,19,13657,4.8,3.4,Moderate,4.56,5.06
42,Male,177.5,89.2,28.3,2283,20,1694,5.3,2.3,Moderate,4.29,5.07
62,Male,175.7,99.3,32.17,2280,22,2162,7.4,1.7,Moderate,5.28,6.15
38,Female,159.6,56.0,21.99,2091,67,8809,8.2,1.7,Moderate,7.5,7.85
24,Male,178.9,95.9,29.98,1854,38,6651,6.9,3.9,Moderate,6.81,7.84
19,Female,171.9,94.8,32.06,2104,15,6184,7.5,2.9,Moderate,5.15,5.73
63,Male,179.4,66.1,20.54,2065,49,8954,8.3,3.9,Low,6.34,7.61
64,Male,171.9,45.0,15.24,1995,47,8895,8.5,4.0,Moderate,7.23,8.29
53,Female,157.2,58.7,23.76,2438,61,4592,6.3,1.9,Moderate,4.05,4.79
22,Male,180.2,67.3,20.71,3413,31,5929,6.0,1.9,Low,3.14,3.46
32,Male,178.3,105.8,33.25,2965,42,8173,8.3,2.5,Moderate,5.52,6.08
19,Female,165.0,75.9,27.85,3270,56,8584,7.5,3.2,Low,5.46,6.42
20,Female,162.9,59.9,22.56,2016,16,9691,7.7,1.3,Moderate,5.24,5.65
29,Female,158.5,80.7,32.12,3137,69,5958,6.2,3.0,Low,4.63,5.39
45,Male,173.1,54.7,18.25,2413,45,9214,7.8,3.0,Moderate,5.86,6.65
21,Female,158.9,87.3,34.56,2793,14,11326,5.7,1.6,Moderate,3.95,4.52
65,Other,175.4,60.4,19.63,2528,13,8164,7.3,1.6,Moderate,4.31,4.62
39,Female,160.6,63.0,24.44,2128,42,7640,7.1,3.0,Moderate,6.19,7.35
30,Male,182.8,84.8,25.37,2659,29,7175,7.1,4.5,Moderate,4.73,5.5
42,Male,169.0,109.5,38.34,2542,66,5839,7.9,2.3,High,6.2,6.69
55,Male,192.6,117.6,31.68,1415,36,4717,5.8,2.9,Moderate,6.89,7.21
33,Male,157.2,59.3,23.99,2237,53,6956,7.8,2.1,Moderate,5.86,6.78
20,Female,153.9,67.3,28.38,2736,21,9577,7.0,2.8,High,4.86,5.44
20,Male,168.4,87.3,30.77,2438,44,4887,6.1,2.0,Moderate,4.86,5.8
58,Male,189.1,99.0,27.71,2534,81,7736,5.4,2.4,Moderate,5.23,5.5
23,Male,176.0,45.0,14.52,1924,40,7329,9.3,4.8,Moderate,5.31,6.02
48,Female,165.1,79.6,29.2,2428,29,14222,6.9,2.7,Low,4.46,4.89
36,Male,171.9,69.2,23.44,2251,20,10529,6.6,1.2,Low,3.66,4.87
55,Male,168.3,45.0,15.89,2198,44,10472,5.6,3.2,Moderate,5.12,5.85
20,Male,171.6,53.9,18.32,1960,84,11220,8.3,3.6,Moderate,7.75,8.0
61,Female,165.0,67.8,24.9,2757,6,6090,8.2,3.2,Moderate,4.28,5.2
51,Male,168.0,79.1,28.01,2472,43,12818,8.0,2.4,Low,5.41,6.44
39,Female,173.8,96.1,31.83,2422,0,8557,6.9,1.8,High,4.12,4.6
27,Male,177.1,84.4,26.89,3325,33,7843,7.9,1.8,Moderate,4.84,5.16
64,Male,166.0,95.1,34.48,2536,52,3748,6.0,2.4,Moderate,5.35,5.35
32,Male,160.7,78.5,30.38,2900,0,6594,7.3,2.3,Low,3.55,4.53
41,Male,176.5,65.3,20.97,2436,32,1819,6.9,2.1,Moderate,3.6,3.6
36,Male,178.3,74.7,23.51,2123,53,7131,7.3,3.7,Low,6.39,6.97
29,Female,164.5,90.5,33.47,1770,48,5982,4.8,3.4,Moderate,6.44,6.44
37,Female,163.2,96.6,36.28,2420,54,6605,9.2,3.7,High,6.04,7.27
25,Male,186.6,75.3,21.64,1100,17,3149,8.9,1.9,Moderate,4.33,5.39
